농약명(한글),농약명(영어),식품명,잔류허용기준(mg/kg),max_residue_limit,condition_code
벤조빈디플루피르,Benzovindiflupyr,가금류지방,0.01,0.01,
벤조빈디플루피르,Benzovindiflupyr,감자,0.02†,0.02,†
벤조빈디플루피르,Benzovindiflupyr,건삼,0.3†,0.3,†
벤조빈디플루피르,Benzovindiflupyr,대두,0.07†,0.07,†
벤조빈디플루피르,Benzovindiflupyr,두류,0.2†,0.2,†
벤조빈디플루피르,Benzovindiflupyr,밀,0.1†,0.1,†
벤조빈디플루피르,Benzovindiflupyr,보리,1.5†,1.5,†
벤조빈디플루피르,Benzovindiflupyr,블루베리,2.0†,2,†
벤조빈디플루피르,Benzovindiflupyr,사탕무,0.08†,0.08,†
벤조빈디플루피르,Benzovindiflupyr,알,0.01,0.01,
벤조빈디플루피르,Benzovindiflupyr,양파,0.02†,0.02,†
벤조빈디플루피르,Benzovindiflupyr,옥수수,0.01†,0.01,†
벤조빈디플루피르,Benzovindiflupyr,유,0.01,0.01,
벤조빈디플루피르,Benzovindiflupyr,유채씨,0.15†,0.15,†
벤조빈디플루피르,Benzovindiflupyr,인과류,0.2†,0.2,†
벤조빈디플루피르,Benzovindiflupyr,커피원두,0.15†,0.15,†
벤조빈디플루피르,Benzovindiflupyr,포도,1.0†,1,†
벤조빈디플루피르,Benzovindiflupyr,포유류고기,0.03f,0.03,f
벤조빈디플루피르,Benzovindiflupyr,포유류부산물,0.1,0.1,
벤타존,Bentazone,가금류고기,0.03,0.03,
벤타존,Bentazone,가금류부산물,0.07,0.07,
벤타존,Bentazone,가금류지방,0.03,0.03,
벤타존,Bentazone,감귤,0.05,0.05,
벤타존,Bentazone,감자,0.08†,0.08,†
벤타존,Bentazone,대두,0.05,0.05,
벤타존,Bentazone,들깨,0.05,0.05,
벤타존,Bentazone,마늘,0.03,0.03,
벤타존,Bentazone,무(뿌리),0.03,0.03,
벤타존,Bentazone,무(잎),0.03,0.03,
벤타존,Bentazone,밀,0.02†,0.02,†
벤타존,Bentazone,밤,0.03,0.03,
벤타존,Bentazone,배,0.05,0.05,
벤타존,Bentazone,배추,0.03,0.03,
벤타존,Bentazone,보리,0.05,0.05,
벤타존,Bentazone,복숭아,0.03,0.03,
벤타존,Bentazone,사과,0.05,0.05,
벤타존,Bentazone,수수,0.05†,0.05,†
벤타존,Bentazone,쌀,0.05,0.05,
벤타존,Bentazone,알,0.01,0.01,
벤타존,Bentazone,옥수수,0.05,0.05,
벤타존,Bentazone,유,0.01,0.01,
벤타존,Bentazone,포도,0.05,0.05,
벤타존,Bentazone,포유류고기,0.01,0.01,
벤타존,Bentazone,포유류부산물,0.04,0.04,
벤타존,Bentazone,포유류지방,0.01,0.01,
벤타존,Bentazone,풋마늘,0.03,0.03,
벤타존,Bentazone,풋콩,0.5,0.5,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,감자,0.05,0.05,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,갓,5,5,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,고들빼기,8,8,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,고추,2,2,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,냉이,8,8,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,들깻잎,10,10,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,딸기,0.3,0.3,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,루꼴라,8,8,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,마늘,0.05,0.05,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,머위,6,6,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,멜론,0.7,0.7,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,무(뿌리),0.1,0.1,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,무(잎),20,20,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,무화과,0.1,0.1,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,배암차즈기,8,8,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,배추,2,2,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,복분자,0.3,0.3,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,부추,0.3,0.3,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,상추,10,10,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,생강,0.05,0.05,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,순무유채,8,8,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,시금치,1,1,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,쑥갓,8,8,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,양배추,0.2,0.2,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,양상추,10,10,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,양파,0.5,0.5,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,엇갈이배추,5,5,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,오이,0.3,0.3,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,참깨,0.2,0.2,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,참외,0.5,0.5,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,케일,8,8,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,콜라비,0.2,0.2,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,토마토,1,1,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,파,0.05,0.05,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,포도,2,2,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,풋마늘,0.07,0.07,
벤티아발리카브아이소프로필,Benthiavalicarb-isopropyl,피망,2,2,
벤퓨러세이트,Benfuresate,쌀,0.1,0.1,
보스칼리드,Boscalid,가금류고기,0.02,0.02,
보스칼리드,Boscalid,가금류부산물,0.02,0.02,
보스칼리드,Boscalid,가금류지방,0.02,0.02,
보스칼리드,Boscalid,가지,7,7,
보스칼리드,Boscalid,감귤,3,3,
보스칼리드,Boscalid,감귤류,2.0†,2,†
보스칼리드,Boscalid,감자,0.05†,0.05,†
보스칼리드,Boscalid,갓,0.05,0.05,
보스칼리드,Boscalid,갯기름나물,7,7,
보스칼리드,Boscalid,견과류,0.05†,0.05,†
보스칼리드,Boscalid,고들빼기,0.05,0.05,
보스칼리드,Boscalid,고추,3,3,
보스칼리드,Boscalid,고추냉이(뿌리),1,1,
보스칼리드,Boscalid,근대,30,30,
보스칼리드,Boscalid,냉이,7,7,
보스칼리드,Boscalid,당근,0.05,0.05,
보스칼리드,Boscalid,대두,0.05,0.05,
보스칼리드,Boscalid,대추,5,5,
보스칼리드,Boscalid,대추(건조),15,15,
보스칼리드,Boscalid,더덕,0.3,0.3,
보스칼리드,Boscalid,도라지,0.1,0.1,
보스칼리드,Boscalid,돌나물,30,30,
보스칼리드,Boscalid,두류,2.0†,2,†
보스칼리드,Boscalid,들깨,0.3,0.3,
보스칼리드,Boscalid,들깻잎,30,30,
보스칼리드,Boscalid,딸기,5,5,
보스칼리드,Boscalid,땅콩,0.05,0.05,
보스칼리드,Boscalid,루꼴라,0.05,0.05,
보스칼리드,Boscalid,마늘,0.3,0.3,
보스칼리드,Boscalid,망고,1.5,1.5,
보스칼리드,Boscalid,매실,10,10,
보스칼리드,Boscalid,멜론,0.7,0.7,
보스칼리드,Boscalid,무화과,3,3,
보스칼리드,Boscalid,밀,0.5†,0.5,†
보스칼리드,Boscalid,바나나,0.6†,0.6,†
보스칼리드,Boscalid,배추,3,3,
보스칼리드,Boscalid,복분자,9.0†,9,†
보스칼리드,Boscalid,부추,20,20,
보스칼리드,Boscalid,브로콜리,0.05,0.05,
보스칼리드,Boscalid,블루베리,10†,10,†
보스칼리드,Boscalid,비름나물,25,25,
보스칼리드,Boscalid,비트(뿌리),0.3,0.3,
보스칼리드,Boscalid,비트(잎),3,3,
보스칼리드,Boscalid,상추,20,20,
보스칼리드,Boscalid,생강,3,3,
보스칼리드,Boscalid,석류,3,3,
보스칼리드,Boscalid,수박,0.7,0.7,
보스칼리드,Boscalid,수삼,0.3,0.3,
보스칼리드,Boscalid,수수,10,10,
보스칼리드,Boscalid,순무유채,0.05,0.05,
보스칼리드,Boscalid,시금치,30,30,
보스칼리드,Boscalid,신선초,0.05,0.05,
보스칼리드,Boscalid,쑥갓,20,20,
보스칼리드,Boscalid,아로니아,10,10,
보스칼리드,Boscalid,아욱,0.05,0.05,
보스칼리드,Boscalid,알,0.02,0.02,
보스칼리드,Boscalid,앵두,10,10,
보스칼리드,Boscalid,양배추,0.05,0.05,
보스칼리드,Boscalid,양상추,20,20,
보스칼리드,Boscalid,양파,0.05,0.05,
보스칼리드,Boscalid,엇갈이배추,10,10,
보스칼리드,Boscalid,엽경채류,30,30,
보스칼리드,Boscalid,오디,0.1,0.1,
보스칼리드,Boscalid,오미자,7,7,
보스칼리드,Boscalid,오미자(건조),10,10,
보스칼리드,Boscalid,오이,0.3,0.3,
보스칼리드,Boscalid,옥수수,0.05†,0.05,†
보스칼리드,Boscalid,우엉,0.05,0.05,
보스칼리드,Boscalid,우엉잎,0.05,0.05,
보스칼리드,Boscalid,유,0.1,0.1,
보스칼리드,Boscalid,유채,0.3,0.3,
보스칼리드,Boscalid,유채씨,2,2,
보스칼리드,Boscalid,인과류,1,1,
보스칼리드,Boscalid,참외,5,5,
보스칼리드,Boscalid,체리,4.0†,4,†
보스칼리드,Boscalid,취나물,0.07,0.07,
보스칼리드,Boscalid,치커리,0.07,0.07,
보스칼리드,Boscalid,커피원두,0.05†,0.05,†
보스칼리드,Boscalid,케일,0.05,0.05,
보스칼리드,Boscalid,키위,5,5,
보스칼리드,Boscalid,토마토,2,2,
보스칼리드,Boscalid,파,7,7,
보스칼리드,Boscalid,파슬리,0.05,0.05,
보스칼리드,Boscalid,파파야,7,7,
보스칼리드,Boscalid,포도,5,5,
보스칼리드,Boscalid,포유류고기,0.7f,0.7,f
보스칼리드,Boscalid,포유류부산물,0.2,0.2,
보스칼리드,Boscalid,풋마늘,1,1,
보스칼리드,Boscalid,풋콩,0.7,0.7,
보스칼리드,Boscalid,피망,3,3,
보스칼리드,Boscalid,피스타치오,1.0†,1,†
보스칼리드,Boscalid,핵과류,1,1,
보스칼리드,Boscalid,향신씨,0.05,0.05,
보스칼리드,Boscalid,호박,2,2,
보스칼리드,Boscalid,호박잎,30,30,
보스칼리드,Boscalid,호프,35†,35,†
뷰타클로르,Butachlor,갓,0.05,0.05,
뷰타클로르,Butachlor,고추,0.05,0.05,
뷰타클로르,Butachlor,고춧잎,0.05,0.05,
뷰타클로르,Butachlor,귀리,0.03,0.03,
뷰타클로르,Butachlor,근대,0.03,0.03,
뷰타클로르,Butachlor,녹두,0.03,0.03,
뷰타클로르,Butachlor,도라지,0.03,0.03,
뷰타클로르,Butachlor,동부,0.03,0.03,
뷰타클로르,Butachlor,마늘,0.05,0.05,
뷰타클로르,Butachlor,밀,0.1,0.1,
뷰타클로르,Butachlor,배추,0.05,0.05,
뷰타클로르,Butachlor,보리,0.1,0.1,
뷰타클로르,Butachlor,부추,0.05,0.05,
뷰타클로르,Butachlor,브로콜리,0.05,0.05,
뷰타클로르,Butachlor,비트(뿌리),0.05,0.05,
뷰타클로르,Butachlor,비트(잎),0.05,0.05,
뷰타클로르,Butachlor,시금치,0.05,0.05,
뷰타클로르,Butachlor,쌀,0.1,0.1,
뷰타클로르,Butachlor,양배추,0.05,0.05,
뷰타클로르,Butachlor,양파,0.05,0.05,
뷰타클로르,Butachlor,엇갈이배추,0.05,0.05,
뷰타클로르,Butachlor,참나물,0.1,0.1,
뷰타클로르,Butachlor,콜라비,0.05,0.05,
뷰타클로르,Butachlor,파,0.05,0.05,
뷰타클로르,Butachlor,풋마늘,0.05,0.05,
뷰타클로르,Butachlor,풋콩,0.03,0.03,
뷰타클로르,Butachlor,호밀,0.03,0.03,
뷰타클로르,Butachlor,호박,0.05,0.05,
뷰타클로르,Butachlor,호박잎,0.05,0.05,
뷰프로페진,Buprofezin,가금류고기,0.01,0.01,
뷰프로페진,Buprofezin,가금류부산물,0.01,0.01,
뷰프로페진,Buprofezin,가금류지방,0.01,0.01,
뷰프로페진,Buprofezin,가지,0.3,0.3,
뷰프로페진,Buprofezin,감,0.5,0.5,
뷰프로페진,Buprofezin,감귤,0.5,0.5,
뷰프로페진,Buprofezin,건삼,0.4,0.4,
뷰프로페진,Buprofezin,견과류,0.05†,0.05,†
뷰프로페진,Buprofezin,고추,3,3,
뷰프로페진,Buprofezin,고춧잎,5,5,
뷰프로페진,Buprofezin,녹차추출물,2,2,
뷰프로페진,Buprofezin,대두,0.05,0.05,
뷰프로페진,Buprofezin,대추,0.5,0.5,
뷰프로페진,Buprofezin,대추(건조),1,1,
뷰프로페진,Buprofezin,딸기,1,1,
뷰프로페진,Buprofezin,레몬,2.5†,2.5,†
뷰프로페진,Buprofezin,마늘,0.05,0.05,
뷰프로페진,Buprofezin,매실,1,1,
뷰프로페진,Buprofezin,멜론,0.5,0.5,
뷰프로페진,Buprofezin,무화과,1,1,
뷰프로페진,Buprofezin,바나나,0.2†,0.2,†
뷰프로페진,Buprofezin,밤,0.05,0.05,
뷰프로페진,Buprofezin,배,0.5,0.5,
뷰프로페진,Buprofezin,복분자,0.7,0.7,
뷰프로페진,Buprofezin,복숭아,1,1,
뷰프로페진,Buprofezin,블루베리,0.5,0.5,
뷰프로페진,Buprofezin,뽕(잎),5,5,
뷰프로페진,Buprofezin,사과,0.5,0.5,
뷰프로페진,Buprofezin,살구,0.5,0.5,
뷰프로페진,Buprofezin,석류,1,1,
뷰프로페진,Buprofezin,수박,0.05,0.05,
뷰프로페진,Buprofezin,수삼,0.2,0.2,
뷰프로페진,Buprofezin,쌀,0.5,0.5,
뷰프로페진,Buprofezin,아로니아,1.5,1.5,
뷰프로페진,Buprofezin,알,0.01,0.01,
뷰프로페진,Buprofezin,양파,0.05,0.05,
뷰프로페진,Buprofezin,오디,1,1,
뷰프로페진,Buprofezin,오렌지,2.5†,2.5,†
뷰프로페진,Buprofezin,오미자,1,1,
뷰프로페진,Buprofezin,오미자(건조),3,3,
뷰프로페진,Buprofezin,오이,1,1,
뷰프로페진,Buprofezin,유,0.01,0.01,
뷰프로페진,Buprofezin,유자,0.5,0.5,
뷰프로페진,Buprofezin,유채,15,15,
뷰프로페진,Buprofezin,자두,1,1,
뷰프로페진,Buprofezin,차,15,15,
뷰프로페진,Buprofezin,참외,1,1,
뷰프로페진,Buprofezin,체리,1.9†,1.9,†
뷰프로페진,Buprofezin,키위,1,1,
뷰프로페진,Buprofezin,토마토,3,3,
뷰프로페진,Buprofezin,파,5,5,
뷰프로페진,Buprofezin,포도,2,2,
뷰프로페진,Buprofezin,포유류고기,0.01,0.01,
뷰프로페진,Buprofezin,포유류부산물,0.01,0.01,
뷰프로페진,Buprofezin,포유류지방,0.01,0.01,
뷰프로페진,Buprofezin,풋마늘,0.05,0.05,
뷰프로페진,Buprofezin,풋콩,0.7,0.7,
뷰프로페진,Buprofezin,피망,1,1,
뷰프로페진,Buprofezin,호박,0.5,0.5,
뷰프로페진,Buprofezin,호박잎,10,10,
브로마실,Bromacil,오렌지,0.04†,0.04,†
브로마실,Bromacil,자몽,0.04†,0.04,†
브로모뷰타이드,Bromobutide,쌀,0.05,0.05,
브로플라닐라이드,Broflanilide,가지,0.1,0.1,
브로플라닐라이드,Broflanilide,감,0.2,0.2,
브로플라닐라이드,Broflanilide,감귤,0.5,0.5,
브로플라닐라이드,Broflanilide,감자,0.04†,0.04,†
브로플라닐라이드,Broflanilide,갓,1.5,1.5,
브로플라닐라이드,Broflanilide,건삼,0.03,0.03,
브로플라닐라이드,Broflanilide,고구마,0.03,0.03,
브로플라닐라이드,Broflanilide,고구마줄기,0.05,0.05,
브로플라닐라이드,Broflanilide,고추,1,1,
브로플라닐라이드,Broflanilide,고춧잎,10,10,
브로플라닐라이드,Broflanilide,냉이,7,7,
브로플라닐라이드,Broflanilide,당근,0.07,0.07,
브로플라닐라이드,Broflanilide,대두,0.05,0.05,
브로플라닐라이드,Broflanilide,대추,0.5,0.5,
브로플라닐라이드,Broflanilide,들깨,0.7,0.7,
브로플라닐라이드,Broflanilide,들깻잎,10,10,
브로플라닐라이드,Broflanilide,딸기,0.5,0.5,
브로플라닐라이드,Broflanilide,마늘,0.03,0.03,
브로플라닐라이드,Broflanilide,매실,0.7,0.7,
브로플라닐라이드,Broflanilide,멜론,0.07,0.07,
브로플라닐라이드,Broflanilide,무(뿌리),0.05,0.05,
브로플라닐라이드,Broflanilide,무(잎),5,5,
브로플라닐라이드,Broflanilide,배,0.3,0.3,
브로플라닐라이드,Broflanilide,배추,0.5,0.5,
브로플라닐라이드,Broflanilide,복숭아,0.7,0.7,
브로플라닐라이드,Broflanilide,부추,5,5,
브로플라닐라이드,Broflanilide,브로콜리,1.5,1.5,
브로플라닐라이드,Broflanilide,비트(뿌리),0.2,0.2,
브로플라닐라이드,Broflanilide,비트(잎),3,3,
브로플라닐라이드,Broflanilide,사과,0.7,0.7,
브로플라닐라이드,Broflanilide,살구,0.5,0.5,
브로플라닐라이드,Broflanilide,상추,10,10,
브로플라닐라이드,Broflanilide,생강,0.2,0.2,
브로플라닐라이드,Broflanilide,수박,0.07,0.07,
브로플라닐라이드,Broflanilide,수삼,0.03,0.03,
브로플라닐라이드,Broflanilide,시금치,3,3,
브로플라닐라이드,Broflanilide,쌀,0.3,0.3,
브로플라닐라이드,Broflanilide,쑥갓,3,3,
브로플라닐라이드,Broflanilide,양배추,0.05,0.05,
브로플라닐라이드,Broflanilide,양상추,10,10,
브로플라닐라이드,Broflanilide,양파,0.05,0.05,
브로플라닐라이드,Broflanilide,엇갈이배추,1.5,1.5,
브로플라닐라이드,Broflanilide,엽경채류,1.5,1.5,
브로플라닐라이드,Broflanilide,엽채류,3,3,
브로플라닐라이드,Broflanilide,오이,0.1,0.1,
브로플라닐라이드,Broflanilide,옥수수,0.05,0.05,
브로플라닐라이드,Broflanilide,자두,0.2,0.2,
브로플라닐라이드,Broflanilide,참깨,0.5,0.5,
브로플라닐라이드,Broflanilide,참외,0.2,0.2,
브로플라닐라이드,Broflanilide,청경채,1.5,1.5,
브로플라닐라이드,Broflanilide,케일,7,7,
브로플라닐라이드,Broflanilide,콜라비,0.07,0.07,
브로플라닐라이드,Broflanilide,토마토,1,1,
브로플라닐라이드,Broflanilide,파,3,3,
브로플라닐라이드,Broflanilide,포도,0.7,0.7,
브로플라닐라이드,Broflanilide,풋콩,0.2,0.2,
브로플라닐라이드,Broflanilide,피망,1,1,
브로플라닐라이드,Broflanilide,호박,0.07,0.07,
브로플라닐라이드,Broflanilide,호박잎,7,7,
비사이클로피론,Bicyclopyrone,밀,0.03†,0.03,†
비사이클로피론,Bicyclopyrone,보리,0.03†,0.03,†
비사이클로피론,Bicyclopyrone,사탕수수,0.02†,0.02,†
비사이클로피론,Bicyclopyrone,옥수수,0.02†,0.02,†
비스트리플루론,Bistrifluron,감,0.07,0.07,
비스트리플루론,Bistrifluron,고추,2,2,
비스트리플루론,Bistrifluron,근대,10,10,
비스트리플루론,Bistrifluron,대두,0.1,0.1,
비스트리플루론,Bistrifluron,딸기,0.5,0.5,
비스트리플루론,Bistrifluron,멜론,1,1,
비스트리플루론,Bistrifluron,배,1,1,
비스트리플루론,Bistrifluron,배추,1,1,
비스트리플루론,Bistrifluron,복숭아,1,1,
비스트리플루론,Bistrifluron,비트(뿌리),0.5,0.5,
비스트리플루론,Bistrifluron,비트(잎),10,10,
비스트리플루론,Bistrifluron,사과,1,1,
비스트리플루론,Bistrifluron,수박,0.2,0.2,
비스트리플루론,Bistrifluron,시금치,5,5,
비스트리플루론,Bistrifluron,아스파라거스,1,1,
비스트리플루론,Bistrifluron,엇갈이배추,3,3,
비스트리플루론,Bistrifluron,엽경채류,2,2,
비스트리플루론,Bistrifluron,엽채류,7,7,
비스트리플루론,Bistrifluron,오이,0.5,0.5,
비스트리플루론,Bistrifluron,옥수수,0.05,0.05,
비스트리플루론,Bistrifluron,자두,0.7,0.7,
비스트리플루론,Bistrifluron,참외,0.5,0.5,
비스트리플루론,Bistrifluron,키위,1,1,
비스트리플루론,Bistrifluron,파,2,2,
비스트리플루론,Bistrifluron,포도,0.5,0.5,
비스트리플루론,Bistrifluron,풋콩,1,1,
비스트리플루론,Bistrifluron,피망,2,2,
비스트리플루론,Bistrifluron,호박,0.1,0.1,
비스트리플루론,Bistrifluron,호박잎,15,15,
비스피리박소듐,Bispyribac-sodium,쌀,0.1,0.1,
비에이치시,BHC,곡류,0.01E,0.01,E
비에이치시,BHC,과일류,0.01E,0.01,E
비에이치시,BHC,두류,0.01E,0.01,E
비에이치시,BHC,땅콩 또는 견과류,0.01E,0.01,E
비에이치시,BHC,서류,0.01E,0.01,E
비에이치시,BHC,수삼,0.01E,0.01,E
비에이치시,BHC,유지종실류,0.01E,0.01,E
비에이치시,BHC,채소류,0.01E,0.01,E
비터타놀,Bitertanol,가금류고기,0.01,0.01,
비터타놀,Bitertanol,가금류부산물,0.01,0.01,
비터타놀,Bitertanol,가금류지방,0.01,0.01,
비터타놀,Bitertanol,가지,0.5,0.5,
비터타놀,Bitertanol,감,0.3,0.3,
비터타놀,Bitertanol,고사리,0.02,0.02,
비터타놀,Bitertanol,고추,0.7,0.7,
비터타놀,Bitertanol,고춧잎,3,3,
비터타놀,Bitertanol,녹차추출물,25,25,
비터타놀,Bitertanol,대두,0.2T,0.2,T
비터타놀,Bitertanol,땅콩,0.05,0.05,
비터타놀,Bitertanol,멜론,0.2,0.2,
비터타놀,Bitertanol,바나나,0.5†,0.5,†
비터타놀,Bitertanol,배,0.6,0.6,
비터타놀,Bitertanol,복숭아,1,1,
비터타놀,Bitertanol,블루베리,2,2,
비터타놀,Bitertanol,사과,0.6,0.6,
비터타놀,Bitertanol,살구,1,1,
비터타놀,Bitertanol,수박,0.5,0.5,
비터타놀,Bitertanol,수수,10,10,
비터타놀,Bitertanol,쑥갓,20,20,
비터타놀,Bitertanol,알,0.01,0.01,
비터타놀,Bitertanol,엽경채류,10,10,
비터타놀,Bitertanol,엽채류,3,3,
비터타놀,Bitertanol,오이,0.5,0.5,
비터타놀,Bitertanol,우엉,2,2,
비터타놀,Bitertanol,유,0.01,0.01,
비터타놀,Bitertanol,차,10,10,
비터타놀,Bitertanol,참외,0.2,0.2,
비터타놀,Bitertanol,체리,1,1,
비터타놀,Bitertanol,취나물,20,20,
비터타놀,Bitertanol,포유류고기,0.05,0.05,
비터타놀,Bitertanol,포유류부산물,0.05,0.05,
비터타놀,Bitertanol,포유류지방,0.05,0.05,
비터타놀,Bitertanol,호박,0.5,0.5,
비페나제이트,Bifenazate,가금류고기,0.01,0.01,
비페나제이트,Bifenazate,가금류부산물,0.01,0.01,
비페나제이트,Bifenazate,가금류지방,0.01,0.01,
비페나제이트,Bifenazate,가지,0.5,0.5,
비페나제이트,Bifenazate,감귤,1,1,
비페나제이트,Bifenazate,견과류,0.2†,0.2,†
비페나제이트,Bifenazate,고추,3,3,
비페나제이트,Bifenazate,구기자(건조),0.3,0.3,
비페나제이트,Bifenazate,다래,3,3,
비페나제이트,Bifenazate,대추,0.3,0.3,
비페나제이트,Bifenazate,대추(건조),0.3,0.3,
비페나제이트,Bifenazate,더덕,0.03,0.03,
비페나제이트,Bifenazate,도라지,0.03,0.03,
비페나제이트,Bifenazate,둥굴레(뿌리),0.05,0.05,
비페나제이트,Bifenazate,"둥굴레(뿌리, 건조)",0.05,0.05,
비페나제이트,Bifenazate,둥굴레(잎),3,3,
비페나제이트,Bifenazate,들깨,0.2,0.2,
비페나제이트,Bifenazate,들깻잎,7,7,
비페나제이트,Bifenazate,딸기,1,1,
비페나제이트,Bifenazate,매실,0.7,0.7,
비페나제이트,Bifenazate,배,0.2,0.2,
비페나제이트,Bifenazate,복분자,0.5,0.5,
비페나제이트,Bifenazate,복숭아,0.3,0.3,
비페나제이트,Bifenazate,블루베리,1.5,1.5,
비페나제이트,Bifenazate,사과,1,1,
비페나제이트,Bifenazate,살구,0.7,0.7,
비페나제이트,Bifenazate,셀러리,2,2,
비페나제이트,Bifenazate,수박,0.1,0.1,
비페나제이트,Bifenazate,아로니아,0.3,0.3,
비페나제이트,Bifenazate,알,0.01,0.01,
비페나제이트,Bifenazate,오미자(건조),2,2,
비페나제이트,Bifenazate,오이,0.5,0.5,
비페나제이트,Bifenazate,옥수수,0.03,0.03,
비페나제이트,Bifenazate,우엉,0.03,0.03,
비페나제이트,Bifenazate,우엉잎,5,5,
비페나제이트,Bifenazate,유,0.01,0.01,
비페나제이트,Bifenazate,유자,0.7,0.7,
비페나제이트,Bifenazate,자두,0.2,0.2,
비페나제이트,Bifenazate,차,3,3,
비페나제이트,Bifenazate,차즈기(잎),7,7,
비페나제이트,Bifenazate,참외,0.7,0.7,
비페나제이트,Bifenazate,체리,2.0†,2,†
비페나제이트,Bifenazate,토마토,0.3,0.3,
비페나제이트,Bifenazate,포도,1,1,
비페나제이트,Bifenazate,포유류고기,0.01,0.01,
비페나제이트,Bifenazate,포유류부산물,0.01,0.01,
비페나제이트,Bifenazate,포유류지방,0.05,0.05,
비페나제이트,Bifenazate,피망,2,2,
비페나제이트,Bifenazate,호박,0.1,0.1,
비페나제이트,Bifenazate,호프,20†,20,†
비페녹스,Bifenox,대두,0.05T,0.05,T
비페녹스,Bifenox,쌀,0.05,0.05,
비펜트린,Bifenthrin,가금류고기,0.05f,0.05,f
비펜트린,Bifenthrin,가금류부산물,0.05,0.05,
비펜트린,Bifenthrin,가지,0.3,0.3,
비펜트린,Bifenthrin,감귤,0.5,0.5,
비펜트린,Bifenthrin,감자,0.05,0.05,
비펜트린,Bifenthrin,갓,1,1,
비펜트린,Bifenthrin,강낭콩,0.05,0.05,
비펜트린,Bifenthrin,갯개미자리,1,1,
비펜트린,Bifenthrin,건삼,0.5,0.5,
비펜트린,Bifenthrin,견과류,0.05†,0.05,†
비펜트린,Bifenthrin,고구마,0.05,0.05,
비펜트린,Bifenthrin,고구마줄기,0.05,0.05,
비펜트린,Bifenthrin,고수(잎),0.03,0.03,
비펜트린,Bifenthrin,고추,1,1,
비펜트린,Bifenthrin,고추(건조),3,3,
비펜트린,Bifenthrin,고추냉이(뿌리),0.07,0.07,
비펜트린,Bifenthrin,고추냉이(잎),8,8,
비펜트린,Bifenthrin,구기자,0.03,0.03,
비펜트린,Bifenthrin,구기자(건조),0.1,0.1,
비펜트린,Bifenthrin,귀리,0.05,0.05,
비펜트린,Bifenthrin,근대,1,1,
비펜트린,Bifenthrin,기장,0.05,0.05,
비펜트린,Bifenthrin,꾸지뽕(열매),0.7,0.7,
비펜트린,Bifenthrin,냉이,0.05,0.05,
비펜트린,Bifenthrin,녹두,0.05,0.05,
비펜트린,Bifenthrin,녹차추출물,0.7,0.7,
비펜트린,Bifenthrin,느타리버섯,0.3,0.3,
비펜트린,Bifenthrin,다래,0.5,0.5,
비펜트린,Bifenthrin,달래,0.5,0.5,
비펜트린,Bifenthrin,당귀(잎),8,8,
비펜트린,Bifenthrin,당근,0.05,0.05,
비펜트린,Bifenthrin,대두,0.5,0.5,
비펜트린,Bifenthrin,대추,0.5,0.5,
비펜트린,Bifenthrin,대추(건조),2,2,
비펜트린,Bifenthrin,더덕,0.05,0.05,
비펜트린,Bifenthrin,도라지,0.05,0.05,
비펜트린,Bifenthrin,돌나물,8,8,
비펜트린,Bifenthrin,동부,0.05,0.05,
비펜트린,Bifenthrin,들깨,0.3,0.3,
